name,title,price,area,road_width,corner
"Residential Land / Plot  in Sector 28, Faridabad","Residential Land / Plot  in Sector 28, Faridabad",65599999,350.0,30.48,False
"Residential Land / Plotin Sector 65, Faridabad","Residential Land / Plotin Sector 65, Faridabad",28000000,160.0,10.97,False
"Residential Land / Plotin Sector 98, Faridabad","Residential Land / Plotin Sector 98, Faridabad",16600000,126.0,8.23,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",13500000,150.0,8.23,False
"Residential Land / Plotin Sector 85, Faridabad","Residential Land / Plotin Sector 85, Faridabad",62500000,350.0,10.06,True
"Residential Land / Plotin Sector 85, Faridabad","Residential Land / Plotin Sector 85, Faridabad",78000000,500.0,10.06,True
"Residential Land / Plotin Sector 68, Faridabad","Residential Land / Plotin Sector 68, Faridabad",9500000,108.0,12.19,True
"Residential Land / Plotin Basantpur, Faridabad","Residential Land / Plotin Basantpur, Faridabad",425000,34.0,6.1,False
"Residential Land / Plotin Sector 17, Faridabad","Residential Land / Plotin Sector 17, Faridabad",49200000,250.0,29.26,False
"Residential Land / Plotin Sector 98, Faridabad","Residential Land / Plotin Sector 98, Faridabad",15600000,160.0,27.43,True
"Residential Land / Plotin Rajinder Singh Market, Sector 28, Faridabad","Residential Land / Plotin Rajinder Singh Market, Sector 28, Faridabad",85000000,566.0,18.29,False
"Residential Land / Plotin Sector 64, Faridabad","Residential Land / Plotin Sector 64, Faridabad",9500000,60.0,,False
"Residential Land / Plotin Parvatiya Colony, Sector 52, Faridabad","Residential Land / Plotin Parvatiya Colony, Sector 52, Faridabad",6000000,150.0,4.57,False
"Residential Land / Plotin Roshan Nagar, Faridabad","Residential Land / Plotin Roshan Nagar, Faridabad",600000,50.0,5.49,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",12000000,150.0,8.23,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",15500000,180.0,8.23,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",14600000,180.0,8.23,False
"Residential Land / Plotin Palwali, Faridabad","Residential Land / Plotin Palwali, Faridabad",5900000,125.0,10.97,False
"Residential Land / Plotin Kabulpur Bangar, Faridabad","Residential Land / Plotin Kabulpur Bangar, Faridabad",2000000,86.0,,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",56000000,250.0,54.86,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",49600000,250.0,29.57,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",71500000,350.0,30.48,False
"Residential Land / Plotin Sector 16A, Faridabad","Residential Land / Plotin Sector 16A, Faridabad",55000000,250.0,12.8,False
"Residential Land / Plotin Phase 1, Sector 89, Faridabad","Residential Land / Plotin Phase 1, Sector 89, Faridabad",27500000,172.0,,False
"Residential Land / Plotin Sector 98, Faridabad","Residential Land / Plotin Sector 98, Faridabad",15000000,136.0,9.14,False
"Residential Land / Plotin Tajupur, Faridabad","Residential Land / Plotin Tajupur, Faridabad",14500000,180.0,8.23,False
"Residential Land / Plotin Sector 97, Faridabad","Residential Land / Plotin Sector 97, Faridabad",11700000,150.0,8.23,False
"Residential Land / Plotin Sector 85, Faridabad","Residential Land / Plotin Sector 85, Faridabad",34200000,180.0,10.06,True
"Residential Land / Plotin Sector 59, Faridabad","Residential Land / Plotin Sector 59, Faridabad",300000,30.0,6.1,True
"Residential Land / Plotin Nacholi, Faridabad","Residential Land / Plotin Nacholi, Faridabad",1160000,116.0,,False
"Residential Land / Plotin Pali, Faridabad","Residential Land / Plotin Pali, Faridabad",1800000,100.0,6.71,False
